Only the Strong Survive,Kurtis Blow,Hip-Hop / Rap / R&B,Hook / Riff,1988
It's a Bud Thing,Smiley,Hip-Hop / Rap / R&B,Drums,1992
Santa's Beat Box,Cutmaster D.C.,Hip-Hop / Rap / R&B,Sound Effect / Other,1986
Endstation Abschiebehaft,Anarchist Academy,Hip-Hop / Rap / R&B,Drums,1998
Black Is the Light,B.L.A.C.K.,Hip-Hop / Rap / R&B,Multiple Elements,1992
Smoke Up My Ass,Milk Dee,Hip-Hop / Rap / R&B,Hook / Riff,1994
Sac's Maniac,The Crisis,Hip-Hop / Rap / R&B,Hook / Riff,1994
Bikes & Cars,Smoov Lyn,Hip-Hop / Rap / R&B,Hook / Riff,1988
Work It Out (Platinum Vocal Extended),Monie Love,Hip-Hop / Rap / R&B,Drums,1991
Represent,Kaotic Style,Hip-Hop / Rap / R&B,Drums,1995
Echte Liefde,Osdorp Posse,Hip-Hop / Rap / R&B,Drums,1995
90008 Remix,Supherb,Hip-Hop / Rap / R&B,Drums,2000
Power Move,MC Trouble,Hip-Hop / Rap / R&B,Sound Effect / Other,1990
Intro,Comitato,Hip-Hop / Rap / R&B,Drums,1993
Masquerade,Bustin' Melonz,Hip-Hop / Rap / R&B,Drums,1994
5 Boros,Crazy Sam,Hip-Hop / Rap / R&B,Drums,1994
5 Boros,Da Verbal Assassins,Hip-Hop / Rap / R&B,Drums,1994
Topeng,Iwa K,Hip-Hop / Rap / R&B,Drums,1994
The Tease,Smiley,Hip-Hop / Rap / R&B,Drums,1991
The Coming,The First Sons,Hip-Hop / Rap / R&B,Drums,1992
It's the Ex,Tony Scott,Hip-Hop / Rap / R&B,Hook / Riff,1993
Intoxicated,Greyson & Jasun,Hip-Hop / Rap / R&B,Hook / Riff,1991
I'm Not a Criminal,Maximum Security,Hip-Hop / Rap / R&B,Hook / Riff,1990
Don't Forget Where You Come From,Black Dynasty,Hip-Hop / Rap / R&B,Hook / Riff,1993
Daddy's Dance,Benny B,Hip-Hop / Rap / R&B,Sound Effect / Other,1992
Keep It Goin',True Culture,Hip-Hop / Rap / R&B,Multiple Elements,1991
Timecode Jungle (Jungle Juice Mix),2 Ruff (Dance),Electronic / Dance,Hook / Riff,1990
Surrender Your Heart,Linear,Rock / Pop,Sound Effect / Other,1992
My Life Story,MC Price and DJ Double Trouble,Hip-Hop / Rap / R&B,Hook / Riff,1991
Nerf Herder,Luke Vibert,Electronic / Dance,Drums,2014
You Know the Rules,Dangerous Dame,Hip-Hop / Rap / R&B,Drums,1992
Unsung Heroes of Hip Hop,Subsonic 2,Hip-Hop / Rap / R&B,Multiple Elements,1991
I'm on It (The Original Basement Jam),The Original MC Fresh,Hip-Hop / Rap / R&B,Hook / Riff,1989
Dope Material,Dose Material,Hip-Hop / Rap / R&B,Multiple Elements,1988
Break It Down,Jackstreet Inc.,Electronic / Dance,Sound Effect / Other,1989
Power of Rhyme,Kid Sensation,Hip-Hop / Rap / R&B,Hook / Riff,1992
Shade Tree Gangsta,Raheem,Hip-Hop / Rap / R&B,Drums,1992
Beatin Down KRS,Butchy-B,Hip-Hop / Rap / R&B,Sound Effect / Other,1988
Ruff in the Comfort Zone,DJ Massive,Electronic / Dance,Drums,1992
133.6,The Ace of Clubs,Electronic / Dance,Drums,2002
Sudden Impact,Construction,Hip-Hop / Rap / R&B,Sound Effect / Other,1990
