"Babe, We're Gonna Love Tonite (12"" Remix)",Funky Sisters,Electronic / Dance,Vocals / Lyrics,1990
Government Decides,First Offence,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Satisfactory Noise,R0CKET SAUCE!!!,Electronic / Dance,Multiple Elements,2013
Pump Up the Volume,Stacey James,Electronic / Dance,Vocals / Lyrics,2016
Pump Up the Volume,Marcel De Van,Electronic / Dance,Vocals / Lyrics,2014
Gangster Touch,Dr. Ease,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Turn It Too,The Abrahammer,Rock / Pop,Vocals / Lyrics,2011
"Focus on the Bass (Quadro 7"" Version)",Melissa Beckford,Electronic / Dance,Vocals / Lyrics,1991
Dogga Mixxx II,The Dogs,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
Boys From the Bec,S.W.S.,Hip-Hop / Rap / R&B,Vocals / Lyrics,1988
Make My Fly,DJ Cornelius,Electronic / Dance,Vocals / Lyrics,1995
Pump It Up,KMSM,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Pump It Up,Kidd Money,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Home Invasion,Mix Master Mike,Hip-Hop / Rap / R&B,Vocals / Lyrics,2000
Parę Słów Wstecz,Smarki Smark,Hip-Hop / Rap / R&B,Vocals / Lyrics,2007
Rock the Boat '89 (House Mix),Forrest,Electronic / Dance,Vocals / Lyrics,1989
I Got That Feeling,Fresh Celeste,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
As I Get Funky,Ruthless Rod,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
As I Get Funky,MC Dollar,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Ain't Nothing Like the Bass,W-Def,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Miami Rumble '89,"D.J. Deryck ""D""",Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
No Sellout,Tuff Crew,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
I Want Your Car,MC Luscious,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
T.S.U.,Silk Tymes Leather,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
The Rhyme Goes On,Silk Tymes Leather,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Psychosis,Bass Selective,Electronic / Dance,Vocals / Lyrics,1992
So Legit,"Silky Rio & ""Lil"" Dex",Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
As I Come Back,MC Madness,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Get Loc'd Out,D-Loc (2),Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
I Thought U Knew!,The Wild Boyz,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
King of Discoin',P.Trot & D.J. EZT,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Ward of the State (Radio Edit),Askari X,Hip-Hop / Rap / R&B,Vocals / Lyrics,1992
All or Nothing,Roonie G,Rock / Pop,Vocals / Lyrics,1990
Sunrise,Kish,Hip-Hop / Rap / R&B,Vocals / Lyrics,1994
Celsius2,Celsius (Hardcore),Electronic / Dance,Vocals / Lyrics,2022
U Wanna Frsh!,Liricistas,Hip-Hop / Rap / R&B,Vocals / Lyrics,2016
Stop the World,"Black, Rock & Ron",Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
T.D.A. (How Many Sugars) (Double Trouble Mix),Doctor K,Electronic / Dance,Vocals / Lyrics,1988
Who Am I?,K-Bee & Ceil-B,Hip-Hop / Rap / R&B,Vocals / Lyrics,1988
Brain Child,Yomo & Maulkie,Hip-Hop / Rap / R&B,Vocals / Lyrics,1991
Coming Right at You,Daddy D,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
Let's Go,Metropolis (Spain),Electronic / Dance,Vocals / Lyrics,1994
The Incredible Lyrical & Original,Dementores,Hip-Hop / Rap / R&B,Vocals / Lyrics,2010
HyperDrive,DJ Ten,Electronic / Dance,Vocals / Lyrics,2013
His Name Is Kyper (And He Is Kyper),Kyper,Hip-Hop / Rap / R&B,Vocals / Lyrics,1993
Master Mix 89 (Side B),Underground Posse,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
It's Groovy,Priority One,Hip-Hop / Rap / R&B,Vocals / Lyrics,1989
Beat 'N' the Lines,2 Deep,Hip-Hop / Rap / R&B,Vocals / Lyrics,1990
