I Love Rock and Roll (The Medley),Mark Roberts,Rock / Pop,Drums,by Mark Roberts (1994)
The Right Way,Daddy D,Hip-Hop / Rap / R&B,Hook / Riff,by Daddy D (1990)
Flystep,Flytronix,Electronic / Dance,Hook / Riff,by Flytronix (1995)
Comin' Ta Get Cha,Local Dre,Hip-Hop / Rap / R&B,Hook / Riff,by Local Dre (1994)
We Can Do This,Jerry Flynn,Hip-Hop / Rap / R&B,Drums,by Jerry Flynn (1992)
Lunedì Martedì,Ambra,Rock / Pop,Drums,by Ambra (1994)
Cookoo Nest,Long Ova Due,Hip-Hop / Rap / R&B,Drums,by Long Ova Due (1993)
Energize,Island Universe,Electronic / Dance,Hook / Riff,by Island Universe (1993)
Kaleidoscope Skies (Club Mix),Jam & Spoon,Electronic / Dance,Drums,by Jam & Spoon (1997)
Ragga Talk,Asher D,Hip-Hop / Rap / R&B,Drums,by Asher D (1991)
Wheels on Fire,DJ Double D,Hip-Hop / Rap / R&B,Drums,by DJ Double D (1999)
Girl You Know It's True (Regular Mix),Centory,Rock / Pop,Drums,by Centory feat. Trey-D (1996)
Girl You Know It's True (Regular Mix),Trey-D,Rock / Pop,Drums,by Centory feat. Trey-D (1996)
The D.J.'s Pumpin',M. Doc,Hip-Hop / Rap / R&B,Multiple Elements,"by M. Doc and Steve ""Silk"" Hurley (1991)"
The D.J.'s Pumpin',"Steve ""Silk"" Hurley",Hip-Hop / Rap / R&B,Multiple Elements,"by M. Doc and Steve ""Silk"" Hurley (1991)"
Flammen in Der Nacht (Bundestag Brenn !),Anarchist Academy,Hip-Hop / Rap / R&B,Drums,by Anarchist Academy (1994)
Nigerian Rhyme Shoota,Doomsday,Hip-Hop / Rap / R&B,Hook / Riff,by Doomsday (1994)
Side A,Butchwax,Hip-Hop / Rap / R&B,Sound Effect / Other,by Butchwax (1999)
G. T. Road,Bally Sagoo,Electronic / Dance,Drums,"by Bally Sagoo, K. L. Chand, Blackadon and Cheshire Cat (1992)"
G. T. Road,K. L. Chand,Electronic / Dance,Drums,"by Bally Sagoo, K. L. Chand, Blackadon and Cheshire Cat (1992)"
G. T. Road,Blackadon,Electronic / Dance,Drums,"by Bally Sagoo, K. L. Chand, Blackadon and Cheshire Cat (1992)"
G. T. Road,Cheshire Cat,Electronic / Dance,Drums,"by Bally Sagoo, K. L. Chand, Blackadon and Cheshire Cat (1992)"
Gangsta Life,Gregory D,Hip-Hop / Rap / R&B,Drums,by Gregory D (1992)
Pussycat (Cat in the Hat Mix),T.C. Ellis,Hip-Hop / Rap / R&B,Drums,by T.C. Ellis (1991)
Heavy Metal Microphone Maniac,MC Player,Hip-Hop / Rap / R&B,Hook / Riff,by MC Player (1988)
Angel of Death,Insane Poetry,Hip-Hop / Rap / R&B,Multiple Elements,by Insane Poetry (1992)
Unbelievable,Chicosci,Rock / Pop,Drums,by Chicosci (2001)
